value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,zh-cn,notes
new,FALSE,menu,FALSE,FALSE,,,File > New...,Datei > Neu …,Файл > Новый...,文件>新建…,
newFromTemplate,FALSE,menu,FALSE,FALSE,,,File > New from Template...,Datei > Neu aus Vorlage …,Файл > Новый из шаблона...,文件>从模板新建…,
open,FALSE,menu,FALSE,FALSE,,,File > Open...,Datei > Öffnen …,Файл > Открыть...,文件>打开…,
Adobe Bridge Browse,FALSE,menu,FALSE,FALSE,,,File > Browse in Bridge...,Datei > Bridge durchsuchen …,Файл > Обзор в Bridge...,文件>在Bridge中浏览…,
close,FALSE,menu,TRUE,FALSE,,,File > Close,Datei > Schließen,Файл > Закрыть,文件>关闭…,
save,FALSE,menu,TRUE,FALSE,,,File > Save,Datei > Speichern,Файл > Сохранить,文件>保存…,
saveas,FALSE,menu,TRUE,FALSE,,,File > Save As...,Datei > Speichern unter …,Файл > Сохранить как...,文件>另存为…,
saveacopy,FALSE,menu,TRUE,FALSE,,,File > Save a Copy...,Datei > Kopie speichern …,Файл > Сохранить копию...,文件>保存副本…,
saveastemplate,FALSE,menu,TRUE,FALSE,,,File > Save as Template...,Datei > Als Vorlage speichern …,Файл > Сохранить как шаблон...,文件>另存为模板…,
Adobe AI Save Selected Slices,FALSE,menu,TRUE,TRUE,,,File > Save Selected Slices...,Datei > Ausgewählte Slices speichern …,Файл > Файл > Сохранить выделенные фрагменты...,文件>保存选中的切片…,
revert,FALSE,menu,TRUE,FALSE,,,File > Revert,Datei > Zurück zur letzten Version,Файл > Восстановить,文件>还原…,
Search Adobe Stock,FALSE,menu,FALSE,FALSE,19,,File > Search Adobe Stock,Datei > Adobe Stock durchsuchen …,Файл > Поиск в Adobe Stock...,文件>搜索Adobe Stock…,
AI Place,FALSE,menu,TRUE,FALSE,,,File > Place...,Datei > Platzieren …,Файл > Поместить...,文件>放置…,
Generate Modal File Menu ,FALSE,menu,TRUE,FALSE,28.6,,File > Generate Vectors...,,,文件>生成矢量…,Note that there is a space after 'Menu'
exportForScreens,FALSE,menu,TRUE,FALSE,20,,File > Export > Export For Screens...,Datei > Exportieren > Für Bildschirme exportieren …,Файл > Экспорт для экранов...,文件>导出>屏幕导出…,
export,FALSE,menu,TRUE,FALSE,,,File > Export > Export As...,Datei > Exportieren …,Файл > Экспортировать как...,文件>导出>导出为…,
Adobe AI Save For Web,FALSE,menu,TRUE,FALSE,,,File > Export > Save for Web (Legacy)...,Datei > Für Web speichern (Legacy) …,Файл > Сохранить для браузеров...,文件>导出>存储为Web格式(旧版)…,
exportSelection,FALSE,menu,TRUE,FALSE,20,,File > Export Selection...,Datei > Auswahl exportieren …,Файл > Экспортировать выделенные элементы...,文件>导出选择…,
Package Menu Item,FALSE,menu,TRUE,FALSE,,,File > Package,Datei > Verpacken …,Файл > Упаковать...,文件>打包…,
ai_browse_for_script,FALSE,menu,FALSE,FALSE,,,File > Scripts > Other Script...,Datei > Skripten > Anderes Skript …,Файл > Сценарии > Другой сценарий...,文件>脚本>其他脚本…,
document,TRUE,menu,TRUE,FALSE,,,File > Document Setup...,Datei > Dokument einrichten …,Файл > Параметры документа...,文件>文档设置…,
doc-color-cmyk,FALSE,menu,TRUE,FALSE,,,File > Document Color Mode > CMYK Color,Datei > Dokumentfarbmodus > CMYK-Farbe,Файл > Цветовой режим документа > CMYK,文件>文档颜色模式> CMYK颜色…,
doc-color-rgb,FALSE,menu,TRUE,FALSE,,,File > Document Color Mode > RGB Color,Datei > Dokumentfarbmodus > RGB-Farbe,Файл > Цветовой режим документа > RGB,文件>文档颜色模式> RGB颜色…,
File Info,FALSE,menu,TRUE,FALSE,,,File > File Info...,Datei > Dateiinformationen …,Файл > Сведения о файле...,文件>文件信息…,
Print,FALSE,menu,TRUE,FALSE,,,File > Print...,Datei > Drucken …,Файл > Печать...,文件>打印…,
quit,FALSE,menu,FALSE,FALSE,,,File > Exit,Datei > Illustrator beenden,Файл > Выход,文件>退出…,
undo,FALSE,menu,TRUE,FALSE,,,Edit > Undo,Bearbeiten > Rückgängig,Редактирование > Отменить,编辑>撤销…,
redo,FALSE,menu,TRUE,FALSE,,,Edit > Redo,Bearbeiten > Wiederholen,Редактирование > Повторить,编辑>重做…,
cut,FALSE,menu,TRUE,TRUE,,,Edit > Cut,Bearbeiten > Ausschneiden,Редактирование > Вырезать,编辑>剪切…,
copy,FALSE,menu,TRUE,TRUE,,,Edit > Copy,Bearbeiten > Kopieren,Редактирование > Копировать,编辑>复制…,
paste,FALSE,menu,TRUE,FALSE,,,Edit > Paste,Bearbeiten > Einfügen,Редактирование > Вставить,编辑>粘贴…,
pasteFront,FALSE,menu,TRUE,FALSE,,,Edit > Paste in Front,Bearbeiten > Davor einfügen,Редактирование > Вставить на передний план,,
pasteBack,FALSE,menu,TRUE,FALSE,,,Edit > Paste in Back,Bearbeiten > Dahinter einfügen,Редактирование > Вставить на задний план,,
pasteInPlace,FALSE,menu,TRUE,FALSE,,,Edit > Paste in Place,Bearbeiten > An Originalposition einfügen,Редактирование > Вставить на то же место,,
pasteInAllArtboard,FALSE,menu,TRUE,FALSE,,,Edit > Paste on All Artboards,Bearbeiten > In alle Zeichenflächen einfügen,Редактирование > Вставить на все монтажные области,,
pasteWithoutFormatting,FALSE,menu,TRUE,FALSE,25.3,,Edit > Paste without Formatting,Bearbeiten > Ohne Formatierung einfügen,Редактирование > Вставить без форматирования,,
clear,FALSE,menu,TRUE,TRUE,,,Edit > Clear,Bearbeiten > Löschen,Редактирование > Очистить,,
Find and Replace,FALSE,menu,TRUE,FALSE,,,Edit > Find & Replace...,Bearbeiten > Suchen und ersetzen …,Редактирование > Найти и заменить...,,
Find Next,FALSE,menu,TRUE,FALSE,,,Edit > Find Next,Bearbeiten > Weitersuchen,Редактирование > Найти следующий,,
Auto Spell Check,FALSE,menu,FALSE,FALSE,24,,Edit > Spelling > Auto Spell Check,Bearbeiten > Rechtschreibung > Automatische Rechtschreibprüfung,Редактирование > Орфография > Автоматическая проверка орфографии,,
Check Spelling,FALSE,menu,TRUE,FALSE,24,,Edit > Spelling > Check Spelling...,Bearbeiten > Rechtschreibung > Rechtschreibprüfung …,Редактирование > Орфография > Проверка орфографии…,,
Edit Custom Dictionary...,FALSE,menu,TRUE,FALSE,,,Edit > Edit Custom Dictionary...,Bearbeiten > Eigenes Wörterbuch bearbeiten …,Редактирование > Редактировать заказной словарь...,,
